"","V1"
"45","condA"
"130","condA"
"90041577","condA"
"90041585","condA"
"90041630","condA"
"90041655","condA"
"90041081","condA"
"90041001","condA"
"90041004","condA"
"90041007","condA"
"90041008","condA"
"90041009","condA"
"90041010","condA"
"90041016","condA"
"90041021","condA"
"90041024","condA"
"90041025","condA"
"90041028","condA"
"90041030","condA"
"90041033","condA"
"90041036","condA"
"90041037","condA"
"90041039","condA"
"90041041","condA"
"90041042","condA"
"90041045","condA"
"90041046","condA"
"90041047","condA"
"90041054","condA"
"90041058","condA"
"90041061","condA"
"90041062","condA"
"90041063","condA"
"90041067","condA"
"90041070","condA"
"90041075","condA"
"90041076","condA"
"90041080","condA"
"90041082","condA"
"90041088","condA"
"90041089","condA"
"90041092","condA"
"90041093","condA"
"90041096","condA"
"90041097","condA"
"90041098","condA"
"90041114","condA"
"90041179","condA"
"90041212","condA"
"90041218","condA"
"90041219","condA"
"90041221","condA"
"90041228","condA"
"90041232","condA"
"90041233","condA"
"90041237","condA"
"90041243","condA"
"90041244","condA"
"90041248","condA"
"90041252","condA"
"90041259","condA"
"90041262","condA"
"90041267","condA"
"90041272","condA"
"90041281","condA"
"90041282","condA"
"90041286","condA"
"90041291","condA"
"90041298","condA"
"90041300","condA"
"90041308","condA"
"90041309","condA"
"90041393","condA"
"90041510","condA"
"90041539","condA"
"90041561","condA"
"90041566","condA"
"90041011.3","condA"
"90042303","condA"
"90041822","condA"
"90041840","condA"
"90041844","condA"
"90041895","condA"
"90041949","condA"
"90041970","condA"
"90041996","condA"
"90042264","condA"
"90044391","condA"
"90042230","condA"
"90042231","condA"
"90042235","condA"
"90042240","condA"
"90042250","condA"
"90042251","condA"
"90042255","condA"
"90042257","condA"
"90042258","condA"
"90042263","condA"
"90042273","condA"
"90042274","condA"
"90042277","condA"
"90042286","condA"
"90042292","condA"
"90042298","condA"
"90042299","condA"
"90042311","condA"
"90042312","condA"
"90042315","condA"
"90042320","condA"
"90042326","condA"
"90042331","condA"
"90042339","condA"
"90042342","condA"
"90042344","condA"
"90042347","condA"
"90042355","condA"
"90042362","condA"
"90042364","condA"
"90042367","condA"
"90042380","condA"
"90042385","condA"
"90042387","condA"
"90042391","condA"
"90042393","condA"
"90042396","condA"
"90042416","condA"
"90042421","condA"
"90042424","condA"
"90042435","condA"
"90042464","condA"
"90042471","condA"
"90042474","condA"
"90042480","condA"
"90042485","condA"
"90042497","condA"
"90042501","condA"
"90042517","condA"
"90042520","condA"
"90042523","condA"
"90042527","condA"
"90042245","condA"
"90042249","condA"
"90042253","condA"
"90042276","condA"
"90042282","condA"
"90042289","condA"
"90042297","condA"
"90042319","condA"
"90042328","condA"
"90042332","condA"
"90042350","condA"
"90042354","condA"
"90042356","condA"
"90042361","condA"
"90042365","condA"
"90042377","condA"
"90042388","condA"
"90042389","condA"
"90042401","condA"
"90042414","condA"
"90042425","condA"
"90042429","condA"
"90042433","condA"
"90042439","condA"
"90042442","condA"
"90042455","condA"
"90042459","condA"
"90042465","condA"
"90042466","condA"
"90042482","condA"
"90042491","condA"
"90042503","condA"
"90042510","condA"
"90042514","condA"
"90042516","condA"
"90042528","condA"
"90042530","condA"
"90042531","condA"
"90042537","condA"
"90042270","condA"
"90042278","condA"
"90042296","condA"
"90042306","condA"
"90042316","condA"
"90042337","condA"
"90042345","condA"
"90042358","condA"
"90042410","condA"
"90042411","condA"
"90042438","condA"
"90042454","condA"
"90042470","condA"
"90042476","condA"
"90042477","condA"
"90042484","condA"
"90042487","condA"
"90042495","condA"
"90042496","condA"
"90042511","condA"
"90042513","condA"
"90042285","condA"
"90042304","condA"
"3","condB"
"11","condB"
"14","condB"
"18","condB"
"34","condB"
"38","condB"
"43","condB"
"47","condB"
"49","condB"
"50","condB"
"51","condB"
"52","condB"
"60","condB"
"66","condB"
"68","condB"
"89","condB"
"103","condB"
"107","condB"
"114","condB"
"119","condB"
"131","condB"
"132","condB"
"133","condB"
"134","condB"
"139","condB"
"143","condB"
"148","condB"
"154","condB"
"158","condB"
"163","condB"
"166","condB"
"168","condB"
"178","condB"
"190","condB"
"193","condB"
"194","condB"
"198","condB"
"90041328","condB"
"90041361","condB"
"90041363","condB"
"90041373","condB"
"90041535","condB"
"90041573","condA"
"90041582","condB"
"90041588","condB"
"90041589","condB"
"90041591","condB"
"90041594","condB"
"90041595","condB"
"90041599","condB"
"90041611","condB"
"90041623","condB"
